"","Credit.Rating","Balance.of.Current.Account","Duration.of.Credit","Payment.of.Previous.Credits","Purpose.of.Credit","Amount.of.Credit","Value.of.Savings","Employed.by.Current.Employer.for","Installment.in...of.Available.Income","Marital.Status","Gender","Living.in.Current.Household.for","Most.Valuable.Assets","Age","Further.running.credits","Type.of.Apartment","Number.of.previous.credits.at.this.bank","Occupation"
"400","good",">$300",24,"no problems with current credits","retraining",4169.2,">1400","1-5 years","< 15","single","male",">8 years","no assets",30,"no further running credits","rented","2- 4","skilled employee"
"401","bad","no balance",24,"paid back","used car",6630.4,"no savings","<1 year","25-35","divorced/living apart/married","female",">8 years","life insurance",23,"at other banks","rented","one","unskilled with permanant residence"
"402","bad","no running account",36,"no previous credits","used car",3796.8,"no savings","> 8 years","25-35","single","male","1-5 years","car",39,"at other banks","rented","one","skilled employee"
"403","good","no balance",36,"no previous credits","new car",9727.2,"no savings","1-5 years","25-35","single","male","1-5 years","life insurance",33,"no further running credits","free","one","executive/self-employed"
"404","good",">$300",15,"paid back","furniture",1904,"no savings","1-5 years","< 15","single","male","1-5 years","car",29,"no further running credits","rented","2- 4","skilled employee"
"405","good",">$300",9,"paid back","used car",3368.4,"no savings","unemployed","25-35","single","male","5-8 years","life insurance",29,"no further running credits","rented","one","executive/self-employed"
"406","good",">$300",15,"no problems with current credits","new car",5031.6,"no savings","<1 year","> 35","divorced/living apart/married","female","1-5 years","car",44,"no further running credits","rented","2- 4","unskilled with permanant residence"
"407","bad","no balance",36,"no previous credits","furniture",3739.4,"<140","1-5 years","< 15","divorced/living apart/married","female",">8 years","ownership of house or land",48,"no further running credits","owned","one","skilled employee"
"408","good","no running account",11,"paid back","other",5467,"no savings","1-5 years","25-35","single","male","1-5 years","no assets",34,"no further running credits","free","2- 4","skilled employee"
"409","bad","no running account",24,"problematic running accounts","other",1670.2,"no savings","unemployed","> 35","divorced/living apart/married","female",">8 years","ownership of house or land",27,"no further running credits","free","2- 4","unskilled with no permanant residence"
"410","good",">$300",9,"no previous credits","retraining",2028.6,"no savings","5-8 years","15- 25","divorced/living apart/married","female","1-5 years","life insurance",25,"no further running credits","rented","2- 4","skilled employee"
"411","bad","no running account",18,"no previous credits","furniture",2634.8,"no savings","1-5 years","< 15","divorced/living apart/married","female",">8 years","life insurance",23,"at other banks","free","2- 4","skilled employee"
"412","bad",">$300",9,"no previous credits","used car",2772,"no savings","<1 year","25-35","divorced/living apart/married","female","1-5 years","life insurance",18,"no further running credits","free","2- 4","skilled employee"
"413","good","<= $300",6,"no problems with current credits","furniture",956.2,"no savings","<1 year","25-35","divorced/living apart/married","female","< 1 year","car",27,"at other banks","rented","one","skilled employee"
"414","good","no running account",24,"problematic running accounts","used car",3476.2,"140-700","1-5 years","< 15","single","male",">8 years","no assets",20,"at department store","rented","one","skilled employee"
"415","good","no running account",18,"no previous credits","used car",5110,"no savings","<1 year","> 35","divorced/living apart/married","female",">8 years","life insurance",20,"no further running credits","free","one","skilled employee"
"416","good","no running account",21,"no previous credits","other",5268.2,">1400","5-8 years","25-35","single","male","1-5 years","no assets",22,"no further running credits","rented","one","unskilled with permanant residence"
"417","good","<= $300",12,"no previous credits","other",1862,"no savings","<1 year","< 15","single","male","< 1 year","no assets",24,"no further running credits","rented","one","skilled employee"
"418","bad",">$300",36,"no problems with current credits","retraining",11172,">1400","<1 year","< 15","single","male",">8 years","life insurance",25,"no further running credits","free","2- 4","skilled employee"
"419","good",">$300",12,"paid back","repair",981.4,"no savings","1-5 years","< 15","single","male","1-5 years","life insurance",30,"no further running credits","rented","2- 4","skilled employee"
"420","bad",">$300",24,"no problems with current credits","other",3553.2,"no savings","> 8 years","< 15","single","male",">8 years","life insurance",45,"no further running credits","rented","2- 4","unskilled with permanant residence"
"421","good","no balance",12,"paid back","other",3312.4,"140-700","5-8 years","15- 25","divorced/living apart","male","5-8 years","life insurance",34,"no further running credits","rented","one","executive/self-employed"
"422","good",">$300",24,"paid back","furniture",4020.8,"<140","> 8 years","15- 25","single","male",">8 years","no assets",34,"no further running credits","rented","one","skilled employee"
"423","bad","no running account",12,"no previous credits","new car",4740.4,"no savings","> 8 years","15- 25","single","male",">8 years","ownership of house or land",33,"no further running credits","owned","one","skilled employee"
"424","bad","no balance",6,"problematic running accounts","other",1303.4,"<140","<1 year","> 35","divorced/living apart/married","female","< 1 year","car",30,"at department store","rented","one","unskilled with permanant residence"
"425","good","no balance",20,"no problems with current credits","business",3680.6,"no savings","1-5 years","25-35","single","male","5-8 years","life insurance",27,"at other banks","rented","2- 4","skilled employee"
"426","bad","no running account",18,"no previous credits","furniture",4466,"no savings","1-5 years","25-35","divorced/living apart/married","female","1-5 years","no assets",22,"no further running credits","rented","one","skilled employee"
"427","good","no balance",18,"no previous credits","repair",1734.6,">1400","1-5 years","< 15","single","male",">8 years","ownership of house or land",59,"no further running credits","owned","one","skilled employee"
"428","bad","no running account",48,"no previous credits","retraining",6031.2,"no savings","<1 year","15- 25","divorced/living apart/married","female",">8 years","car",22,"no further running credits","free","one","skilled employee"
"429","good","<= $300",42,"paid back","new car",6714.4,"no savings","> 8 years","< 15","single","male",">8 years","ownership of house or land",54,"no further running credits","owned","one","skilled employee"
"430","good",">$300",9,"no previous credits","used car",3221.4,"<140","<1 year","25-35","divorced/living apart/married","female",">8 years","car",20,"no further running credits","free","one","skilled employee"
"431","bad","no running account",60,"no previous credits","retraining",10215.8,"no savings","> 8 years","< 15","single","male",">8 years","ownership of house or land",34,"no further running credits","free","one","skilled employee"
"432","good","no running account",8,"paid back","other",998.2,"no savings","> 8 years","< 15","single","male",">8 years","no assets",45,"no further running credits","rented","2- 4","unskilled with permanant residence"
"433","good",">$300",12,"problematic running accounts","vacation",4825.8,"140-700","1-5 years","< 15","divorced/living apart/married","female","5-8 years","no assets",33,"no further running credits","rented","one","unskilled with permanant residence"
"434","good","no running account",24,"no previous credits","furniture",3337.6,"no savings","> 8 years","< 15","single","male",">8 years","no assets",62,"at other banks","free","one","unskilled with permanant residence"
"435","good","no running account",20,"paid back","used car",5980.8,"no savings","> 8 years","> 35","divorced/living apart/married","female",">8 years","car",22,"no further running credits","rented","2- 4","skilled employee"
